
(1, 2, '120', '230.0', 2060, 2, 1, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250 B.RCT')
(2, 2, '120', '230.0', 2130, 2, 1, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250 B.RCT')
(3, 2, '120', '230.0', 2250, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250 B.RCT')
(4, 2, '120', '230.0', 2270, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250 B.RCT')
(5, 2, '120', '230.0', 2190, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250 B.RCT')
(6, 2, '120', '230.0', 2230, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250.0')
(7, 2, '120', '230.0', 2300, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250.0')
(8, 2, '120', '230.0', 2280, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250.0')
(9, 2, '120', '230.0', 2160, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250.0')
(10, 2, '120', '230.0', 2200, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250.0')
(11, 2, '120', '230.0', 2195, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '250.0')
(12, 2, '120', '195.0', 1690, 3, 2, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '260 B.RCT-DFE')
(13, 2, '120', '195.0', 1980, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '260.0')
(14, 2, '120', '195.0', 1960, 2, 2, '01  DE   ENERO   2021', '1038', 'Almacen', '4', '1', '260.0')

(15, 2, '120', '195.0', 2040, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(16, 2, '120', '195.0', 1990, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(17, 2, '120', '195.0', 1875, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(18, 2, '120', '195.0', 1985, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(19, 2, '120', '195.0', 1960, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(20, 2, '120', '195.0', 1865, 2, 1, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(21, 2, '120', '195.0', 2000, 2, 1, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(22, 2, '120', '195.0', 1865, 2, 1, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT-MBC')
(23, 2, '120', '195.0', 1940, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(24, 2, '120', '195.0', 1870, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(25, 2, '120', '195.0', 1890, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(26, 2, '130', '200.0', 1955, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(27, 2, '130', '200.0', 1935, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(28, 2, '130', '200.0', 1955, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')
(29, 2, '130', '200.0', 1980, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '3', '2', '260 B.RCT')

(30, 2, '130', '200.0', 1995, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '2', '3', '260 B.RCT')
(31, 2, '130', '200.0', 1980, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '2', '3', '260 B.RCT')
(32, 2, '130', '200.0', 1950, 2, 1, '01  DE   ENERO   2021', '1038', 'Almacen', '2', '3', '260 B.RCT')
(33, 2, '130', '200.0', 1935, 2, 0, '01  DE   ENERO   2021', '1038', 'Almacen', '2', '3', '260 B.RCT')
